"Name","Type","Id","Native"
"Clockify (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_clockifyip","False"
"Defender for Cloud Apps","connector","/providers/Microsoft.PowerApps/apis/shared_cloudappsecurity","True"
"Cloud BOT","connector","/providers/Microsoft.PowerApps/apis/shared_cloudbot","False"
"CloudConvert","connector","/providers/Microsoft.PowerApps/apis/shared_cloudconvert","False"
"Cloudmersive Virus Scan","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersive","False"
"Cloudmersive Barcode","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivebarcode","False"
"Cloudmersive Document Conversion","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersiveconvert","False"
"Cloudmersive Currency","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivecurrency","False"
"Cloudmersive Data Validation","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivedv","False"
"Cloudmersive File Processing","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivefileproc","False"
"Cloudmersive Image Processing","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersiveimagepr","False"
"Cloudmersive NLP","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivenlp","False"
"Cloudmersive PDF","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivepdf","False"
"Cloudmersive Security","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivesecurity","False"
"Cloudmersive Video and Media","connector","/providers/Microsoft.PowerApps/apis/shared_cloudmersivevideoandmedia","False"
"Cloud PKI Management","connector","/providers/Microsoft.PowerApps/apis/shared_cloudpkimanagement","False"
"Cloverly (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_cloverlyip","False"
"CO2 Signal (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_co2signalip","False"
"CobbleStone Contract Insight","connector","/providers/Microsoft.PowerApps/apis/shared_cobblestonecontracti","False"
"Computer Vision API","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicescomputervision","False"
"Content Moderator","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicescontentmoderator","False"
"Custom Vision","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicescustomvision","False"
"QnA Maker","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicesqnamaker","False"
"CognitiveServicesSpeechToText","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicesspe","True"
"Azure Cognitive Service for Language","connector","/providers/Microsoft.PowerApps/apis/shared_cognitiveservicestextanalytics","True"
"Cognito Forms","connector","/providers/Microsoft.PowerApps/apis/shared_cognitoforms","False"
"Cognizant Automation Center","connector","/providers/Microsoft.PowerApps/apis/shared_cognizantautomationc","False"
"Coinbase (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_coinbaseip","False"
